sentence_id;sentence_text
1634;The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
1458;Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
1793;It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
1407;The seats are uncomfortable if you are sitting against the wall on wooden benches.
1623;The wine list is excellent.
1101;They wouldnt even let me finish my glass of wine before offering another.
1074;I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
1215;Great bagels, spreads and a good place to hang out in.
183;The service varys from day to day- sometimes they're very nice, and sometimes not.
1755;The pizza was pretty good and huge.
1688;All my co-workers were amazed at how small the dish was.
1383;I also ordered for delivery and the restaurant forgot half the order.
1197;Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!
148;I also recommend the rice dishes or the different varieties of congee (rice porridge).
1402;I love Indian food and consider myself to be quite an expert on it.
1549;Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
1798;The last time I went we were seated at a table in a corridor next to the kitchen.
173;Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.
1836;Other than the crappy service from two individuals, it's great.
1404;They have authentic Indian at amazin prices.
1819;Ambiance- relaxed and stylish.
1474;Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.
1599;The pizza here is delicious.
1352;Hats off to the chef.
1743;The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.
1321;Its an excellent place to relax and the food is one of the best in the city of New York.
1198;The fish is fresh but the variety of fish is nothing out of ordinary.
1110;And Kruno, the beverage manager is the best bartender I have yet to come across.
1830;Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!
1478;Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.
1413;Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.
1554;A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.
141;This dish is my favorite and I always get it when I go there and never get tired of it.
1624;The only thing more wonderful than the food (which is exceptional) is the service.
1630;The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.
1535;They might be all business at the counter when you give your order, but their food says I love you.
1494;The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!
1278;The pizza is good though.
1578;Our food was great too!
1319;The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.
1175;Get your food to go, find a bench, and kick back with a plate of dumplings.
1115;Please try the Filet Mignon, its just the most tender piece ever.
139;The food here does a great service to the name (Cantonese that is...).
1104;I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.
1551;Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.
1785;It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.
1138;The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
128;If you want some roast duck, pork or chicken on rice with ginger, try them out!
1008;You order from a menu, so you leave feeling like you missed the full experience.
1133;yourself a favor and have dinner here and see if you dont agree with me.
152;Quick and friendly service.
1033;Delivery is fast too.
1646;Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.
1269;Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.
1542;As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.
1538;We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.
1272;Don't eat here unless you're starving for thai food and you work next door.
1188;The food is great, service is ok.
1828;He not only makes his own homemade mozzarella, but every pie is ultra fresh.
1843;The establishment scores big points in presentation and style.
1270;Plain and simple it's bad thai food.
1705;While certain staples are excellent (the burger, some of the pastas), the food is not really the point.
1817;Food-awesome.
1749;There was a small wait, but shorter than I expected.
1130;If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.
1652;Otherwise, this place has great service and prices and a nice friendly atmosphere.
1672;The food is awesome - definitely try the striped bass.
1125;The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.
1250;I ordered the chu chu curry and my friend ordered the pad thai chicken.
1533;However, they've got the most amazing pastrami and the soups hit the spot.
1055;Great bagels made the old-fashioned way.
1784;This is some really good, inexpensive sushi.
1689;I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.
1034;Great friendly service, Fast seating, Fast Delivery, Excellent sushi.
1049;Mizu is home to creative and unique rolls not to found anywhere else.
102;Emilio, the owner, is often sitting in the front table greeting guests as they come and go.
1077;A cheap eat for NYC, but not for dosa.
133;The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.
1362;Really though, where's the seasoning?
178;The waitress was very patient with us and the food is phenomenal!
1616;We didn't even see a menu, as our waiter described both the specials and the main dishes.
1103;The dinner was ok, nothing I would have again.
1617;Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.
1022;The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.
1711;Diner food at bistro prices is a bummer....
1622;The portions are large and the servers always surprise us with a different starter.
1059;delicious bagels, especially when right out of the oven.
1592;Our server was very helpful and friendly.
1331;Why make a reservation if you aren't going to keep it?
1316;The food is o.k., but not any better than what you get at a good neighborhood restaurant.
1577;I think the stuff was better than Disney.
1579;And really large portions.
1242;But the coconut rice was good.
1152;If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
1435;Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.
1056;The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
1293;Their calzones are horrific, bad, vomit-inducing, YUCK.
119;Check out the secret back room.
1013;By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.
1707;It is the type of place to run into old friends and have a late, raucus dinner.
1600;The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.
134;The food is prepared quickly and efficiently.
159;The food looked very appetizing and delicious since it came on a variety of fancy plates.
1490;Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.
1548;The food is terrible and overall, I would have to say avoid at all costs.
1709;Unfortunately, the food was NOT something to get worked up about.
1550;It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).
1827;He takes real pride in his food and his business.
1228;I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!
1702;The food is reliable and the price is moderate.
1487;The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.
1632;Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...
1273;I love the fact that the pizza tastes so good and is so cheap.
179;Service was prompt, friendly and great.
109;I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.
1185;It's a great place to pick up a cheap lunch or dinner.
1555;Behind this counter, two men are squeezed in.
1032;Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.
1124;Our waitress was sweet and accomodating, not overbearing.
1663;Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.
1690;I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.
1780;Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.
1471;A large is $20, and toppings are about $3 each.
175;The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.
1609;Service was quick.
1057;Drawbacks: service is slow and they don't toast!
1656;The spicy tuna and salmon are the best we've ever had.
1345;Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.
1159;After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.
1209;Outstanding Bagels, but you get what you pay for.
1377;I found it on a cold night, the perfect spot to warm up.
1439;They even have a section in the menu called American Chinese food!
1750;Located at the end of a magnificent block.
1007;They don't walk around with the trays of Dim Sum.
1161;Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).
1000;The food is good, especially their more basic dishes, and the drinks are delicious.
1021;I usually go there later at night when I get off work so I don't have to deal with crowds or lines.
1729;Pizza here is consistently good.
1429;Sauce was watery and the food didn't have much flavor.
1066;Other apetizers and food
127;The noodle and rices dishes taste great.
1199;The sauces used are also not that exciting.
1211;While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.
1312;The two star chefs left quite some time ago to open their own place.
1565;Don't waste money on decor.
1659;I have never before eaten 40 pieces of relatively good nigiri.
1797;It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.
1731;You should pass on the calamari.
1586;THE FOOD PORTIONS ARE REALLY LARGE.
1792;The staff ignored my friends and I the entire time we were there.
166;Yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there.
1727;The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.
1541;The hot dogs were cold in the middle and the buns were stale.
1037;While the food was excellent, it wasn't cheap (though not extremely expensive either).
