sentence_id;aspect_term;polarity
1634;food;positive
1634;kitchen;positive
1634;menu;neutral
1458;orrechiete with sausage and chicken;positive
1458;waiters;positive
1458;meats;neutral
1458;dish;neutral
1793;drinks;neutral
1793;check;neutral
1407;seats;negative
1623;wine list;positive
1101;glass of wine;neutral
1074;Dosa;neutral
1215;bagels;positive
1215;spreads;positive
183;service;conflict
1755;pizza;positive
1688;dish;negative
1383;delivery;negative
1383;order;negative
1197;check;negative
148;rice dishes;positive
148;congee (rice porridge);positive
1402;Indian food;positive
1549;food;positive
1549;food;positive
1798;table;negative
173;Food;conflict
173;raw vegatables;negative
1836;service;negative
1404;Indian;positive
1404;prices;positive
1819;Ambiance;positive
1474;ingredients;positive
1474;ingredients;positive
1474;pizza;negative
1474;crust;neutral
1599;pizza;positive
1352;chef;positive
1743;pizza;positive
1743;fresh mozzarella;positive
1743;cheese;negative
1321;place;positive
1321;food;positive
1198;fish;positive
1198;variety of fish;negative
1110;bartender;positive
1110;beverage manager;positive
1830;Pizza;positive
1478;values for your money;positive
1413;lunch;positive
1554;corridor;negative
1554;space;negative
1554;counters;negative
1554;counter;negative
1554;entrees;neutral
141;dish;positive
1624;food;positive
1624;service;positive
1630;anti-pasta;positive
1630;calamari;positive
1630;filling pasta mains;positive
1535;food;positive
1535;counter;negative
1494;takeout menu;positive
1494;menu;positive
1494;italian dishes;positive
1278;pizza;positive
1578;food;positive
1319;servers;negative
1175;food;neutral
1175;plate of dumplings;positive
1115;Filet Mignon;positive
139;food;positive
139;Cantonese;positive
1104;eggs benedict;negative
1104;hollondaise sauce;negative
1104;brunch;neutral
1551;staff;positive
1785;roll;negative
1785;roll;negative
1785;roll;negative
1785;rice;neutral
1138;Grilled Chicken special with Edamame Puree;neutral
128;roast duck;positive
128;pork;positive
128;chicken on rice with ginger;positive
1008;menu;negative
1133;dinner;neutral
152;service;positive
1033;Delivery;positive
1646;Spicy Fried Clam Rolls;positive
1646;Spider Rolls;positive
1269;FOOD;neutral
1542;food;negative
1542;employees;negative
1542;containers for condiments;negative
1542;containers;neutral
1542;manager;negative
1538;tuna melt;negative
1538;cheese;neutral
1538;tuna sandwich;negative
1272;thai food;negative
1188;food;positive
1188;service;neutral
1828;mozzarella;positive
1828;pie;positive
1843;establishment;positive
1270;thai food;negative
1705;burger;positive
1705;pastas;positive
1705;food;neutral
1705;staples;positive
1817;Food;positive
1749;wait;conflict
1130;meal;positive
1652;service;positive
1652;prices;positive
1652;atmosphere;positive
1672;food;positive
1672;striped bass;positive
1125;music;conflict
1125;corriander;neutral
1250;chu chu curry;neutral
1250;pad thai chicken;neutral
1533;pastrami;positive
1533;soups;positive
1055;bagels;positive
1784;sushi;positive
1689;food;negative
1689;quality of food;negative
1034;service;positive
1034;seating;positive
1034;Delivery;positive
1034;sushi;positive
1049;rolls;positive
102;owner;positive
1077;dosa;negative
1077;eat;positive
133;atmosphere;negative
133;waiters;conflict
1362;seasoning;negative
178;waitress;positive
178;food;positive
1616;menu;neutral
1616;main dishes;neutral
1616;waiter;positive
1616;specials;neutral
1103;dinner;negative
1617;dishes;positive
1617;menu;neutral
1022;waitress;positive
1022;fried mini buns with the condensed milk and the assorted fruits on beancurd;positive
1711;food;negative
1711;prices;negative
1622;portions;positive
1622;servers;positive
1622;starter;positive
1059;bagels;positive
1592;server;positive
1331;reservation;negative
1316;food;neutral
1577;stuff;positive
1579;portions;positive
1242;coconut rice;positive
1152;music;negative
1152;bottle minimun;negative
1435;Quality of food;positive
1435;price;positive
1435;pork;positive
1435;fish;positive
1435;chicken;positive
1435;lamb;positive
1435;vegetables;positive
1056;appetizing;positive
1056;price;positive
1293;calzones;negative
119;secret back room;positive
1013;pig feet ginger simmered in black vinegar;positive
1013;desserts with frog jelly;positive
1707;dinner;positive
1600;fresh tomato sauce;positive
1600;fresh mozz cheese;positive
1600;basil;positive
1600;dough;positive
1600;pizza;positive
1600;flour;positive
134;food;positive
159;food;positive
159;plates;positive
1490;fresh mozzerella slices;positive
1490;Plain Cheese slice;positive
1548;food;negative
1709;food;negative
1550;food;positive
1827;food;positive
1228;manager;negative
1228;open faced cheese sandwich;neutral
1702;food;positive
1702;price;neutral
1487;garlic;positive
1487;fresh tomatoes;positive
1487;sauce on the pizza;positive
1632;bill;conflict
1632;measures of liquers;positive
1273;pizza;positive
179;Service;positive
109;lamb chop;positive
109;salads;positive
109;lemon;positive
109;extra virgnin olive oil;positive
1185;lunch;positive
1185;dinner;positive
1555;counter;negative
1032;fish;positive
1032;service;positive
1032;Sushi fix;positive
1124;waitress;positive
1663;reservation sigh;neutral
1663;table;negative
1690;food;negative
1780;menu;negative
1780;food art;positive
1471;toppings;neutral
175;decor;positive
175;dining hall;positive
175;semi-private boths;positive
1609;Service;positive
1057;service;negative
1656;spicy tuna;positive
1656;salmon;positive
1345;Barbecued codfish;positive
1345;seasoning;negative
1345;texture;conflict
1345;spice rub;negative
1345;herb mix;negative
1345;sauce;negative
1159;dance floor;positive
1159;dinner;neutral
1209;Bagels;positive
1377;spot;positive
1439;menu;negative
1439;American Chinese food;negative
1750;Located;positive
1007;trays of Dim Sum;neutral
1161;bar;positive
1161;bartenders;positive
1000;food;positive
1000;dishes;positive
1000;drinks;positive
1021;lines;negative
1021;crowds;negative
1729;Pizza;positive
1429;Sauce;negative
1429;food;negative
1429;flavor;negative
1066;apetizers;neutral
1066;food;neutral
127;noodle and rices dishes;positive
1199;sauces;negative
1211;capex;positive
1211;bagels;neutral
1312;chefs;neutral
1565;decor;neutral
1659;nigiri;neutral
1797;place;positive
1797;service;negative
1731;calamari;negative
1586;FOOD PORTIONS;positive
1792;staff;negative
166;service;negative
1727;music;positive
1727;in-house lady DJ;positive
1541;hot dogs;negative
1541;buns;negative
1037;food;positive
1386;food;positive
1386;Thai cuisine;positive
1386;flavors;positive
1378;service;positive
1183;soup;positive
1118;served;positive
1287;bar scene;positive
1094;food;positive
1493;owner;positive
1493;pizza;positive
1014;atmosphere;positive
1434;General Tao chicken;negative
1434;Chinese food;neutral
1050;cuisine;positive
1050;service;positive
1680;bar;neutral
1671;reservation;positive
1671;drink;neutral
1671;bar;neutral
1677;wait staff;positive
1412;dishes;positive
1662;sushi;neutral
1176;dumplings;positive
1340;Decor;neutral
1111;drinks;positive
1279;Pizza;positive
1279;Margheritta;positive
1006;Dim Sum;negative
1621;service;positive
1621;food;positive
1041;people;negative
1089;sandwiches;negative
1532;dining experience;negative
1509;serves;negative
131;establishment;positive
1580;staff;positive
1436;Guizhou chicken;positive
1436;fish with hot bean source;positive
1436;fish fillet in spicy source;positive
1436;special menu;positive
1370;food;negative
1353;Thai food;positive
1353;service;negative
1645;sushi;positive
1645;sushi places;positive
1645;quality;positive
1054;toaster;negative
1040;food;positive
1324;Dosa;positive
1477;portions;positive
1477;appetizer;neutral
1477;entree;neutral
1564;People;positive
1069;cream cheeses;positive
1069;coffee;positive
1382;beef version;negative
1382;beef;negative
1128;thai;negative
1576;owners;neutral
1576;cost;negative
1191;chef;negative
1191;waitress;negative
1673;wine selection;positive
1415;food;negative
1415;service;negative
1660;Japanese food;neutral
1575;entertainment;positive
1608;pizza;positive
1418;bill;neutral
1644;all you can eat deal;positive
1822;pizzas;positive
1822;price;positive
1594;food;positive
1327;menu;positive
1327;variety of dishes;positive
1327;seafood;positive
132;price;positive
132;food;positive
132;service;positive
1029;sashimi plate;positive
163;waitress;negative
163;servants;negative
1017;food;positive
1017;service;neutral
1339;lunch;neutral
1140;food;positive
1174;place;conflict
162;drinks;neutral
162;appetizers;neutral
1216;hot bagel;positive
1304;food;neutral
1304;service;neutral
1304;tip;negative
1335;food;positive
1335;service;negative
1335;waiter;negative
1335;service;negative
1344;jalapeno;positive
1381;pad see ew;neutral
1381;dishes;positive
1840;location;positive
1363;food;neutral
1065;food;positive
1065;price;positive
1099;dinner;neutral
1099;brunch;neutral
1114;staff;positive
1095;quality of food;positive
1095;live jazz;positive
1240;cook;positive
1787;Yellowtail;positive
1244;drink;neutral
